,Unnamed: 0,pair,beta,se,pvals,exposure_name,outcome_name
19,19,MDD_vs_1941,-0.158816036234913,0.0528080546406862,0.0083515094547113,MDD,IDP dMRI TBSS ICVF Fornix cres+Stria terminalis L
20,20,MDD_vs_1931,-0.165144955775253,0.053068477554128,0.0060510468950975,MDD,IDP dMRI TBSS ICVF Posterior thalamic radiation L
21,21,MDD_vs_1972,-0.165987977548504,0.0526057989131028,0.005276344550493,MDD,IDP dMRI ProbtrackX ICVF slf r
22,22,MDD_vs_1702,0.170316845392417,0.0525069250558019,0.0039661307196041,MDD,IDP dMRI TBSS L2 Splenium of corpus callosum
23,23,MDD_vs_1920,-0.160439794495827,0.0529840334133138,0.0078405829112036,MDD,IDP dMRI TBSS ICVF Posterior limb of internal capsule R
24,24,MDD_vs_1961,-0.186469752350883,0.0525965064696401,0.0014090185517349,MDD,IDP dMRI ProbtrackX ICVF fmi
25,25,MDD_vs_1905,-0.18084791938719,0.0526057726386497,0.0020583063759067,MDD,IDP dMRI TBSS ICVF Body of corpus callosum
26,26,MDD_vs_1955,-0.15813304870089,0.0528381748148133,0.0087278216801048,MDD,IDP dMRI ProbtrackX ICVF cgc r
27,27,ADHD_vs_0025,-0.134718163941548,0.0447454494877385,0.0082692897769113,ADHD,IDP T1 FIRST brain stem+4th ventricle volume
28,28,MDD_vs_1970,-0.174174183249613,0.0529609239699279,0.0034159662011799,MDD,IDP dMRI ProbtrackX ICVF ptr r
29,29,MDD_vs_1960,-0.170577746680553,0.0534548929528239,0.0047050950191852,MDD,IDP dMRI ProbtrackX ICVF fma
30,30,ADHD_vs_1994,0.182535464828542,0.0473473504388473,0.0004429956803196,ADHD,IDP dMRI TBSS OD Anterior limb of internal capsule L
31,31,SCZ_vs_1412,0.0593412653927111,0.0183557535493692,0.0041102309900424,SCZ,wg rh intensity-contrast lateraloccipital
32,32,MDD_vs_1930,-0.166117362535872,0.0529377630309024,0.0055743503968895,MDD,IDP dMRI TBSS ICVF Posterior thalamic radiation R
