pair,beta_unadj,se,adj_p,exp_cat,out_cat,dce_beta,exp,out,non_zero_in_dce,exposure_name,outcome_name
0843_vs_SCZ,0.159448827115315,0.0447262718188117,0.0012799022304766,cortical area,bd/scz,0.0,0843,SCZ,False,aparc-DKTatlas rh area cuneus,SCZ
0843_vs_TUD,0.050615855794166,0.0135616998507825,0.0006945570504739,cortical area,substance use,0.0140845134591469,0843,TUD,True,aparc-DKTatlas rh area cuneus,TUD
0851_vs_SCZ,0.154056985488779,0.0416679815902003,0.0007917393340885,cortical area,bd/scz,0.0012963357248215,0851,SCZ,True,aparc-DKTatlas rh area lingual,SCZ
0859_vs_SCZ,0.141297113314671,0.0313116075382831,2.758898430616172e-05,cortical area,bd/scz,0.0233156616795736,0859,SCZ,True,aparc-DKTatlas rh area pericalcarine,SCZ
0471_vs_SCZ,0.160406796570567,0.0436556082556465,0.0008620927654671,regional and tissue volume,bd/scz,0.0020949396372002,0471,SCZ,True,aparc-DKTatlas rh volume cuneus,SCZ
0487_vs_SCZ,0.174191326999908,0.0377389256435492,1.72567463456004e-05,regional and tissue volume,bd/scz,0.0203809050771794,0487,SCZ,True,aparc-DKTatlas rh volume pericalcarine,SCZ
0174_vs_ADHD,-0.266204767431981,0.0648626371040266,0.0001606685498897,regional and tissue volume,neurodevelopmental,0.0,0174,ADHD,False,aseg global volume 3rd-Ventricle,ADHD
0182_vs_CUD,0.171085793326645,0.0499772128546318,0.002109542930397,regional and tissue volume,substance use,0.0,0182,CUD,False,aseg global volume CC-Posterior,CUD
0173_vs_SCZ,0.128748132799886,0.0385601827927629,0.0028088272254167,regional and tissue volume,bd/scz,0.0001037390127824,0173,SCZ,True,aseg global volume VentricleChoroid,SCZ
0173_vs_ADHD,-0.181705251224361,0.0478640835356779,0.0005449548717702,regional and tissue volume,neurodevelopmental,0.0,0173,ADHD,False,aseg global volume VentricleChoroid,ADHD
1345_vs_TUD,-0.0454451657331478,0.0100041103050585,2.4060821211682183e-05,regional and tissue intensity,substance use,-0.0168080177103773,1345,TUD,True,aseg lh intensity Putamen,TUD
1345_vs_CUD,-0.140160176701686,0.0346488771089824,0.0002042853222162,regional and tissue intensity,substance use,-0.0083587964946944,1345,CUD,True,aseg lh intensity Putamen,CUD
0191_vs_SCZ,0.123944170259286,0.0400665813888212,0.0062259973827559,regional and tissue volume,bd/scz,0.0,0191,SCZ,False,aseg lh volume Lateral-Ventricle,SCZ
0191_vs_ADHD,-0.179365488787692,0.0498787503299446,0.0011458468061383,regional and tissue volume,neurodevelopmental,0.0,0191,ADHD,False,aseg lh volume Lateral-Ventricle,ADHD
1363_vs_MDD,-0.0587809029229861,0.0126258262279218,1.4352947836813318e-05,regional and tissue intensity,internalizing,-0.0204917045709883,1363,MDD,True,aseg rh intensity Accumbens-area,MDD
1363_vs_CUD,-0.106456242869815,0.0320046969760732,0.0029307892688035,regional and tissue intensity,substance use,-0.0028948931186253,1363,CUD,True,aseg rh intensity Accumbens-area,CUD
1358_vs_BD,-0.13227196322664,0.0373806778324327,0.001406963073432,regional and tissue intensity,bd/scz,0.0,1358,BD,False,aseg rh intensity Caudate,BD
1358_vs_ANX,-0.127599580148662,0.0274839727708286,1.5240875632964067e-05,regional and tissue intensity,internalizing,-0.0146890592376335,1358,ANX,True,aseg rh intensity Caudate,ANX
1360_vs_TUD,-0.0484509804605928,0.0107814470228837,3.001590243783858e-05,regional and tissue intensity,substance use,-0.0178979193143413,1360,TUD,True,aseg rh intensity Pallidum,TUD
1359_vs_MDD,-0.0548142182614773,0.0125078163663204,4.92906199214568e-05,regional and tissue intensity,internalizing,-0.0185232555354514,1359,MDD,True,aseg rh intensity Putamen,MDD
0214_vs_AUD,0.0657786394637343,0.0179329172176129,0.0008829649165242,regional and tissue volume,substance use,0.0076386300568321,0214,AUD,True,aseg rh volume Putamen,AUD
0214_vs_CUD,0.15826132410638,0.0523768650847235,0.0077691836673659,regional and tissue volume,substance use,0.0,0214,CUD,False,aseg rh volume Putamen,CUD
3915_vs_SCZ,-0.220320398353234,0.0422176737347837,8.854762315186315e-07,rfMRI connectivity,bd/scz,-0.0284517713922044,3915,SCZ,True,rfMRI connectivity ICA-features 2,SCZ
